OCGCRL97,OCGCID97,OCGCSN97,Q5A1_1,Q5A1_2,Q5A1_3,Q5A1_5,Q5A1_7,Q5A2_1,Q5A2_2,Q5A2_3,Q5A2_4,Q5A2_5,Q5A2_6,Q5A2_7,Q5A2_8,Q5A2_9,Q5A2_97,Q5A3A,Q5A3B,Q5A3C,Q5A3D,Q5A3E,Q5A4,Q5A5A,Q5A5B,Q5A5C,Q5A5D,Q5A5E,Q5A5F,Q5A6,Q5A7,Q5A8A,Q5A8B,Q5A8C,Q5A8D,Q5A8E,Q5A8F,Q5A8G,Q5A8H,Q5A8I,Q5A8J,Q5A8K,Q5A8L,Q5A8M,Q5A8N,Q5A8O,Q5A8P,Q5A8Q,Q5A8R,Q5A8S,Q5A8T,Q5A8U,Q5A8V,Q5A8W,Q5A8X,Q5A8Y,Q5A8Z,Q5A8AA,Q5A8BB,Q5A8CC,Q5A8DD,Q5A9A,Q5A9B,Q5A9C,Q5A9D,Q5A9E,Q5A9F,Q5A9G,Q5A9H,Q5A9I,Q5A9J,Q5A10A,Q5A10B,Q5A10C,Q5A10D,Q5A10E,Q5A10F,Q5A10G,Q5A10H,Q5A11,Q5A12,Q5A13,Q5A14A,Q5A14B,Q5A14C,Q5A14D,Q5A14E,Q5A14F,Q5A14G,Q5A14H,Q5A14I,Q5A14J,Q5A14K,Q5A14L,Q5A14M,Q5A15,Q5A16A,Q5A16B,Q5A16C,Q5A16D,Q5A17A,Q5A17B,Q5A17C,Q5A17D,Q5A17E,Q5A17F,Q5A17G,Q5A17H,Q5A17I,Q5A17J,Q5A17K,Q5A18A,Q5A18B,Q5A18C,Q5A18D,Q5A18E,Q5A18F,Q5A18G,Q5A18H,Q5A18I,Q5A19A,Q5A19B,Q5A19C,Q5A20A,Q5A20B
3,674,4,5,5,5,1,5,1,1,5,5,5,5,1,5,5,5,1,1,4,1,1,1,5,5,5,5,5,5,6,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4,5,5,5,5,4,5,5,1,2,1,1,1,1,1,1,10,2,1,1,1,3,4,4,1,2,3,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3348,3,5,5,5,5,1,1,5,5,1,1,5,1,5,5,5,3,1,3,2,1,1,5,5,4,4,3,4,6,2,2,3,9,3,9,3,2,3,3,2,9,3,9,9,3,2,3,2,2,3,3,3,9,3,2,3,9,3,3,3,5,4,3,4,4,5,4,3,4,5,1,2,1,2,9,1,1,1,5,2,1,2,1,3,4,2,1,1,2,1,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3348,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,2,1,3,2,1,1,5,5,5,4,1,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1503,4,5,5,5,1,5,1,1,1,5,5,5,5,1,1,5,2,3,1,1,1,2,3,2,3,4,5,3,6,2,3,2,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,4,4,5,4,4,4,4,4,4,5,1,2,2,2,2,2,2,1,3,1,2,1,2,3,2,3,3,1,3,2,2,3,3,1,2,1,1,5,5,1,3,1,3,3,1,1,3,1,3,1,3,1,1,1,1,1,1,1,9,4,3,3,3,2
3,1503,5,5,5,5,1,5,1,1,1,5,5,5,5,5,1,5,1,1,1,2,1,2,5,5,3,4,4,4,6,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,2,3,3,3,3,3,5,5,4,4,4,5,5,5,4,4,1,2,1,2,2,2,2,1,3,1,1,1,1,3,3,3,3,2,3,1,2,2,3,2,2,1,1,1,5,1,2,1,3,3,1,1,2,3,3,1,3,1,1,1,1,1,1,1,9,3,4,4,3,3
3,21,3,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,1,2,3,1,1,2,5,5,5,5,5,5,2,2,2,3,3,2,3,2,2,2,2,1,3,3,1,3,3,1,1,2,1,3,3,2,3,2,2,3,3,3,3,3,5,3,2,5,3,5,3,5,5,5,1,1,1,1,1,1,1,1,6,1,1,1,1,2,3,5,2,1,3,1,2,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21,4,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,2,1,3,1,1,2,5,5,4,5,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4006,2,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,5,5,3,5,3,5,5,2,1,3,2,2,1,2,2,3,2,2,3,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,2,3,5,4,3,5,2,5,3,5,5,5,1,1,1,1,1,1,2,1,2,1,1,1,4,2,5,1,3,1,5,3,1,4,5,1,2,1,1,1,5,1,3,1,3,1,1,3,1,1,1,1,0,3,3,0,0,3,3,0,0,4,4,4,2,3
3,4006,3,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,1,4,1,1,1,2,5,5,5,5,5,5,6,2,2,3,1,2,3,3,2,2,3,2,3,3,2,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,5,4,3,5,4,5,3,2,5,5,1,1,1,1,1,1,1,1,3,1,1,1,1,2,5,1,3,1,5,3,1,3,5,1,2,1,1,5,5,1,3,1,3,1,1,3,2,1,1,1,2,3,3,0,0,0,3,0,0,1,4,4,2,3
3,2925,4,5,5,5,1,5,1,1,5,5,5,5,5,5,1,5,1,3,1,2,1,2,4,4,3,4,4,4,6,2,2,2,3,2,3,2,3,3,3,2,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,5,3,1,4,3,4,4,4,3,5,1,2,1,2,2,3,3,1,2,1,1,3,2,3,2,4,4,1,3,3,2,1,3,4,2,1,5,1,5,1,3,3,1,1,1,1,2,1,1,2,3,3,1,0,0,3,3,0,9,3,4,4,2,2
3,97,4,5,5,5,1,5,1,1,5,1,1,1,1,1,1,5,2,3,1,2,1,2,5,4,4,5,5,4,8,2,2,2,3,2,3,2,3,3,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,5,5,4,5,4,5,4,5,5,5,1,2,1,2,1,2,1,1,4,2,1,1,4,4,5,4,4,2,4,3,3,1,4,3,2,1,1,1,5,1,3,3,3,3,1,3,3,1,1,1,3,1,1,1,1,1,1,1,9,4,4,4,2,3
3,3368,3,1,5,5,5,5,1,1,5,5,1,1,1,5,1,5,1,1,2,2,1,1,5,4,4,4,4,4,8,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,4,5,5,5,5,4,5,4,4,4,1,2,1,1,1,2,1,1,6,2,1,1,1,3,2,4,1,1,3,1,2,2,4,2,2,1,1,1,5,1,2,1,2,3,1,1,3,1,2,1,3,1,1,1,1,1,1,1,9,4,4,4,3,3
3,3368,5,1,5,5,5,5,1,1,5,5,1,1,1,5,1,5,4,4,3,3,1,3,5,4,4,4,4,4,8,2,1,2,2,3,3,1,3,3,3,3,3,2,3,3,2,3,3,2,1,2,2,3,1,1,1,2,3,3,3,2,3,4,5,2,4,3,2,3,4,5,1,2,1,1,1,3,2,1,3,4,1,1,1,3,3,4,1,2,3,1,1,3,3,3,2,1,1,1,1,1,2,1,3,1,1,1,3,3,3,1,3,1,1,1,1,1,1,1,9,4,4,4,3,3
3,2121,3,1,5,5,5,5,1,1,5,5,5,5,5,5,1,5,1,4,5,1,1,1,5,5,5,5,5,4,8,2,2,2,2,2,3,2,3,3,3,2,2,2,2,3,3,3,1,2,2,3,3,3,2,3,1,2,3,3,3,3,5,3,5,4,2,4,3,4,4,4,1,2,1,1,1,9,1,1,3,1,1,2,1,3,3,4,4,2,4,2,2,5,9,3,2,1,1,5,5,2,2,9,3,9,2,2,3,1,9,9,3,1,1,0,1,1,1,1,9,4,4,4,3,3
3,1466,3,5,5,5,1,5,1,1,5,5,1,1,1,5,1,5,1,1,1,1,1,2,5,5,4,5,4,5,4,2,2,3,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,4,3,2,1,2,4,4,4,2,2,3,3,2,4,4,4,2,1,1,1,5,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,9,2,3,3,3,3
3,1466,4,5,5,5,1,5,1,1,5,5,1,1,1,5,1,5,1,1,1,1,1,1,5,5,4,5,4,4,4,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,5,4,3,4,4,4,4,4,4,4,1,2,1,1,1,1,1,1,0,5,3,1,2,4,4,4,2,2,3,3,2,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4847,3,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,8,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,5,5,5,3,5,5,5,1,1,1,1,1,9,9,1,6,1,1,3,2,5,3,5,2,2,5,5,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6097,4,5,5,5,1,5,1,1,1,1,1,1,5,1,5,5,1,1,1,1,1,1,5,5,5,5,5,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6097,5,5,5,5,1,5,1,1,1,1,1,1,5,1,5,5,1,1,1,1,1,1,5,5,5,5,5,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2344,3,5,5,5,1,5,1,1,5,5,1,5,5,5,1,5,1,1,1,1,1,2,4,4,4,5,4,4,6,2,2,3,2,3,2,2,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,2,3,5,4,5,4,3,5,5,5,5,5,1,1,1,1,1,1,1,1,5,2,1,1,1,3,3,4,3,2,4,1,2,4,3,4,2,5,1,1,5,1,2,1,3,1,1,1,3,2,1,1,3,1,1,0,0,1,1,1,9,4,3,4,3,3
3,2344,4,5,5,5,1,5,1,1,5,5,1,5,5,5,1,5,1,1,1,1,1,2,4,4,4,5,4,4,6,2,2,3,3,3,2,2,2,3,2,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,5,4,5,5,4,5,4,3,5,4,1,1,1,1,1,1,1,1,4,1,1,1,1,3,4,4,3,2,4,1,2,4,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3345,4,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,1,1,3,1,1,1,5,5,4,5,4,4,6,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,4,4,3,4,3,5,4,3,4,5,1,1,1,2,1,2,2,1,999,4,1,2,2,3,1,2,3,1,3,3,1,2,5,1,2,1,5,5,5,1,2,1,3,3,1,1,2,2,2,1,3,0,1,1,1,1,1,1,9,4,4,4,3,3
3,3195,5,5,5,5,1,5,1,1,5,5,5,5,5,5,1,1,2,2,1,3,1,2,5,5,4,5,4,5,4,2,2,2,2,2,2,2,1,1,3,2,2,3,2,2,3,3,1,3,3,2,2,3,2,3,2,2,3,3,3,1,4,4,3,3,4,4,4,4,3,4,1,2,1,3,3,2,2,1,3,1,2,2,2,1,3,4,2,2,4,3,3,4,4,2,2,1,5,1,5,2,3,1,3,1,1,3,3,1,1,1,3,1,2,1,1,1,1,1,9,4,4,4,2,3
3,3992,4,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,1,1,1,1,1,1,1,1,4,4,3,3,5,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,5,4,4,5,4,1,1,2,1,1,1,1,1,5,1,1,2,1,3,2,3,2,1,4,1,1,3,1,2,2,1,5,1,5,1,2,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,0,3,3,3,3,3
3,3992,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,1,1,1,1,1,1,1,1,3,4,4,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,4,3,4,5,5,4,3,4,4,5,2,2,2,2,2,2,2,2,4,1,1,2,1,2,2,2,1,1,2,1,1,2,1,2,2,5,5,5,5,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,9,3,3,3,3,3
3,632,4,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4,4,2,2,1,2,4,5,3,5,4,4,2,2,2,1,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,5,5,4,4,5,5,5,5,5,5,1,2,2,2,2,2,2,2,3,1,2,1,2,1,1,2,3,1,3,2,2,1,1,1,2,5,5,1,5,1,3,1,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,9,1,3,3,3,3
3,3594,4,5,5,5,1,5,1,1,1,5,5,5,5,5,5,5,3,3,1,2,1,2,5,5,5,5,5,4,7,2,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,5,4,5,4,4,5,3,4,5,2,1,1,1,1,1,2,1,1,999,2,2,2,1,3,4,5,1,2,4,1,2,1,4,4,2,1,5,1,5,1,2,1,3,3,1,1,3,3,1,1,3,1,1,1,1,1,1,1,9,4,4,4,3,3
3,632,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,1,1,2,1,2,4,5,4,5,4,4,2,2,2,2,3,3,2,3,1,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,5,5,4,5,5,5,5,5,5,5,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,3,1,3,2,3,1,1,1,2,5,5,1,5,1,3,1,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,9,1,3,3,3,3
3,389,5,5,5,5,1,5,5,5,5,5,5,1,5,5,1,5,1,1,1,1,1,2,5,4,3,5,4,4,3,2,2,2,2,2,2,3,3,3,3,2,2,3,2,2,3,2,2,2,2,3,3,3,2,3,2,2,3,2,3,3,5,5,5,5,3,3,4,5,4,5,1,2,1,2,2,2,2,2,7,1,1,1,1,2,1,2,1,1,3,1,2,2,2,2,2,1,1,5,5,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2
3,3594,5,5,5,5,1,5,1,1,1,5,5,5,5,5,5,5,3,3,3,2,1,2,5,5,5,5,5,4,6,2,2,3,1,2,2,2,3,3,2,2,2,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,4,9,4,5,4,4,3,2,4,4,2,1,1,1,1,2,1,1,1,2,2,2,1,3,4,5,4,3,4,1,3,1,2,3,2,1,5,1,5,1,3,1,2,3,1,1,3,3,1,1,3,1,1,1,1,1,1,1,9,4,4,4,2,3
3,389,7,5,5,5,1,5,5,5,5,5,5,1,5,5,1,5,1,1,1,1,1,2,5,4,4,5,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2208,3,5,5,5,1,5,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,4,5,3,5,5,5,8,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,2,5,1,5,5,1,1,1,2,1,1,1,1,1,1,1,3,0,0,1,0,0,0,0,9,4,4,4,3,3
3,2208,4,5,5,5,1,5,1,5,5,1,5,5,5,5,5,5,3,1,3,1,1,2,5,4,4,5,9,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,98,3,5,5,5,1,5,1,5,5,1,1,5,1,5,1,5,2,4,2,2,1,2,2,2,3,4,5,4,6,2,2,2,2,3,2,2,3,3,2,2,1,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,2,4,2,4,5,3,3,2,5,4,5,1,3,2,3,2,2,2,2,2,3,2,1,3,2,1,2,2,1,4,2,3,4,4,2,2,1,1,1,5,1,2,1,1,1,1,2,3,2,1,1,0,1,2,1,1,1,1,1,9,4,4,4,3,3
3,98,4,5,5,5,1,5,1,5,5,1,1,5,1,5,1,5,2,3,2,2,1,2,2,2,3,4,5,4,6,2,2,3,1,2,2,2,2,3,3,2,1,3,2,2,3,3,1,2,2,2,3,3,3,3,3,3,3,3,2,2,4,3,3,5,3,4,2,5,4,5,1,2,2,2,2,2,2,2,1,1,2,1,3,2,2,2,1,1,4,2,3,4,3,2,2,1,1,1,5,1,2,1,1,1,1,2,3,2,1,1,0,1,1,1,1,1,1,1,9,3,4,4,2,3
3,4894,3,1,5,5,5,5,5,5,5,5,5,5,1,5,1,5,1,1,3,1,1,1,5,5,5,5,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1778,3,5,5,5,1,5,1,1,5,5,5,1,5,1,5,1,1,2,3,2,1,2,5,5,4,4,3,4,7,2,2,3,2,9,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,3,3,3,2,5,5,5,3,4,4,4,4,5,5,1,2,1,1,1,1,1,1,999,4,2,1,1,2,4,3,1,2,2,2,1,1,1,1,2,5,1,5,5,1,2,1,2,1,1,1,3,1,1,1,3,0,1,1,1,1,1,1,9,2,2,2,3,3
3,1778,4,5,5,5,1,5,1,1,5,5,5,1,5,1,1,1,3,3,2,3,1,2,5,4,3,4,3,4,7,2,2,3,2,2,2,2,2,3,3,2,2,3,2,3,3,3,2,2,2,3,3,2,2,2,2,2,3,3,2,3,4,4,4,4,3,4,3,4,4,3,1,1,1,1,1,1,1,1,7,4,2,1,1,2,4,3,1,3,4,2,2,2,1,1,2,5,1,5,5,1,2,1,2,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,9,3,4,4,2,3
3,2664,3,5,5,5,1,5,1,1,5,1,1,1,5,5,1,5,1,2,2,1,1,2,5,4,4,5,4,5,7,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,5,5,4,4,5,5,4,5,5,4,1,1,1,1,1,9,1,1,8,1,2,1,1,2,5,4,3,4,4,2,3,2,4,4,2,1,5,1,5,1,1,1,3,3,1,1,1,2,1,1,3,1,1,1,1,1,1,1,0,4,4,4,3,3
3,1158,3,5,5,5,1,5,1,1,1,5,5,1,5,1,5,5,1,1,1,1,1,1,4,5,4,4,4,4,6,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,4,5,5,1,1,1,1,1,1,1,1,4,1,1,1,1,3,3,4,2,1,4,2,2,2,3,3,2,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,9,4,4,4,3,3
3,1158,5,5,5,5,1,5,1,1,1,5,5,1,5,1,5,5,1,1,1,1,1,1,4,5,4,4,4,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,745,3,5,5,5,1,5,1,5,5,5,5,5,5,5,1,5,2,4,2,3,1,1,4,4,3,4,3,4,5,2,1,2,3,3,3,1,2,3,3,2,3,3,2,3,3,3,1,2,2,3,3,3,2,2,3,3,3,2,3,3,4,3,4,5,3,4,3,5,4,4,1,2,2,2,1,9,2,1,5,3,1,1,2,2,2,2,2,1,2,2,1,2,3,1,2,1,1,5,5,1,1,1,3,3,1,1,1,1,9,9,3,2,1,1,1,1,2,1,0,3,4,3,3,3
3,4720,3,5,5,5,1,5,1,5,5,5,5,5,5,5,1,5,1,1,1,2,1,1,5,5,4,5,5,5,7,2,2,3,3,3,2,2,2,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,1,3,3,5,5,3,5,4,5,4,5,5,5,2,2,1,1,1,2,2,9,6,1,1,1,2,4,4,4,4,3,4,2,2,1,1,3,2,1,1,1,5,3,1,1,2,1,2,2,2,1,1,1,3,1,1,1,1,1,1,1,9,1,2,3,2,1
3,1570,4,9,9,9,9,9,1,1,5,5,5,5,5,5,1,5,1,1,3,2,1,1,2,1,2,4,4,3,6,2,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,6,3,1,1,1,3,1,4,1,1,3,1,2,1,2,1,2,1,1,1,5,3,2,1,2,1,1,1,2,2,2,1,3,0,1,0,1,1,1,1,9,4,4,4,3,3
3,2116,3,5,5,5,1,5,1,5,5,5,5,5,5,5,1,5,2,4,4,3,3,2,4,4,4,4,4,4,7,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4,5,4,4,3,4,4,4,1,1,2,2,1,9,1,1,4,2,2,1,1,2,2,2,1,1,3,1,2,2,2,3,2,1,5,5,5,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,9,4,4,4,3,3
3,308,5,5,5,5,1,5,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,2,4,3,3,5,4,4,7,2,3,3,3,2,3,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,5,4,4,5,5,5,5,5,5,5,2,1,1,2,1,1,1,1,8,2,1,2,2,2,2,2,2,2,2,3,2,3,4,2,2,1,1,5,5,1,3,1,1,1,1,3,3,1,1,1,1,1,0,1,1,1,1,2,9,4,4,4,2,3
3,266,4,5,5,5,1,5,1,1,1,1,5,5,1,5,1,5,4,3,2,2,1,2,5,4,3,4,5,4,7,2,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,5,5,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,5,1,1,1,3,2,2,3,3,1,3,3,1,1,3,1,2,1,1,1,5,1,2,2,1,2,1,1,3,1,1,1,3,1,1,1,1,1,1,1,9,4,4,4,3,3
3,833,3,5,5,5,1,5,1,5,5,5,5,1,5,5,5,5,1,1,1,1,1,1,3,3,4,4,3,4,6,2,2,3,3,3,3,2,3,3,3,3,2,3,2,3,3,2,2,3,3,3,3,3,2,3,2,3,3,3,2,3,5,5,5,5,4,5,5,4,5,5,1,1,1,1,1,2,1,2,5,2,1,2,1,2,1,2,2,1,1,2,2,1,1,1,2,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,1,1,1,9,2,3,3,3,3
3,1597,3,5,5,5,1,5,1,1,5,5,5,5,5,5,5,1,1,2,2,1,1,2,5,5,4,5,5,5,2,2,2,3,3,2,3,2,3,3,2,2,3,3,2,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,5,4,4,5,3,4,4,4,4,4,1,2,1,1,1,2,2,1,3,1,1,2,1,4,3,4,5,5,4,3,4,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5755,3,5,5,5,1,5,1,1,5,5,5,5,5,5,5,5,1,2,1,2,1,1,5,5,4,5,4,4,5,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4,4,4,4,5,4,4,5,4,4,2,2,1,3,1,9,1,2,5,1,1,2,1,4,2,4,4,1,4,3,1,3,4,4,2,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,4,4,3,3
3,3095,3,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,1,1,1,1,1,1,4,4,4,4,4,4,6,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,5,5,4,4,4,4,4,5,1,1,1,1,1,1,1,1,4,1,1,9,9,3,4,3,2,3,3,1,3,4,3,3,2,1,1,1,5,1,2,1,2,1,1,1,1,1,1,1,3,0,1,0,0,0,0,0,9,4,4,4,3,3
